,Month,Salesman,Region,Product,No. Customers,Net Sales,Profit / Loss
0,2007-01-01,Joseph,North,FastCar,8,1592,562.7719999999999
1,2007-01-01,Joseph,North,RapidZoo,8,1088,396.9024
2,2007-01-01,Joseph,West,SuperGlue,8,1680,752.64
3,2007-01-01,Joseph,West,FastCar,9,2133,922.7357999999999
4,2007-01-01,Joseph,West,RapidZoo,10,1610,579.1170000000001
5,2007-01-01,Joseph,Middle,SuperGlue,10,1540,569.8
6,2007-01-01,Joseph,Middle,FastCar,7,1316,427.56840000000005
7,2007-01-01,Joseph,Middle,RapidZoo,7,1799,708.806
8,2007-02-01,Joseph,North,SuperGlue,10,2030,857.269
9,2007-02-01,Joseph,North,FastCar,7,966,320.8086
10,2007-02-01,Joseph,North,RapidZoo,6,1608,709.7712
11,2007-02-01,Joseph,West,SuperGlue,8,2136,669.4224
12,2007-02-01,Joseph,West,FastCar,7,1561,675.913
13,2007-02-01,Joseph,West,RapidZoo,7,1869,744.9834000000001
14,2007-02-01,Joseph,Middle,SuperGlue,8,1352,409.656
15,2007-02-01,Joseph,Middle,FastCar,7,1820,732.186
16,2007-02-01,Joseph,Middle,RapidZoo,6,756,333.8496
17,2007-03-01,Joseph,North,SuperGlue,7,973,405.3518
18,2007-03-01,Joseph,North,FastCar,6,1644,606.4716
19,2007-03-01,Joseph,North,RapidZoo,10,2110,845.0550000000001
20,2007-03-01,Joseph,West,SuperGlue,9,1179,435.051
21,2007-03-01,Joseph,West,FastCar,10,1340,429.068
22,2007-03-01,Joseph,West,RapidZoo,8,984,349.81199999999995
23,2007-03-01,Joseph,Middle,SuperGlue,9,1971,648.8532
24,2007-03-01,Joseph,Middle,FastCar,6,1392,548.5872
25,2007-03-01,Joseph,Middle,RapidZoo,7,1099,459.7117
26,2007-04-01,Joseph,North,SuperGlue,10,2940,1210.104
27,2007-04-01,Joseph,North,FastCar,8,1336,404.6744
28,2007-04-01,Joseph,North,RapidZoo,6,1392,431.6592
29,2007-04-01,Joseph,West,SuperGlue,10,1090,330.815
30,2007-04-01,Joseph,West,FastCar,6,1350,512.325
31,2007-04-01,Joseph,West,RapidZoo,8,1568,681.9232000000001
32,2007-04-01,Joseph,Middle,SuperGlue,7,1925,814.4675
33,2007-04-01,Joseph,Middle,FastCar,7,1358,543.879
34,2007-04-01,Joseph,Middle,RapidZoo,6,888,359.2848
35,2007-05-01,Joseph,North,SuperGlue,10,2500,821.0000000000001
36,2007-05-01,Joseph,North,FastCar,7,707,294.6776
37,2007-05-01,Joseph,North,RapidZoo,8,1808,608.392
38,2007-05-01,Joseph,West,SuperGlue,9,2322,912.0816
39,2007-05-01,Joseph,West,FastCar,9,1197,451.6281
40,2007-05-01,Joseph,West,RapidZoo,9,2106,908.739
41,2007-05-01,Joseph,Middle,SuperGlue,10,2610,987.363
42,2007-05-01,Joseph,Middle,FastCar,7,1239,443.0664
43,2007-05-01,Joseph,Middle,RapidZoo,9,2574,925.6103999999999
44,2007-06-01,Joseph,North,SuperGlue,7,1134,479.7954
45,2007-06-01,Joseph,North,FastCar,10,1600,565.4399999999999
46,2007-06-01,Joseph,North,RapidZoo,9,2646,1161.3294
47,2007-06-01,Joseph,West,SuperGlue,7,1470,559.335
48,2007-06-01,Joseph,West,FastCar,10,2960,1198.208
49,2007-06-01,Joseph,West,RapidZoo,8,1512,607.068
50,2007-06-01,Joseph,Middle,SuperGlue,10,2520,867.384
51,2007-06-01,Joseph,Middle,FastCar,9,1026,435.22920000000005
52,2007-06-01,Joseph,Middle,RapidZoo,8,1320,431.50800000000004
53,2007-07-01,Joseph,North,SuperGlue,10,1110,356.532
54,2007-07-01,Joseph,North,FastCar,9,1854,683.9406
55,2007-07-01,Joseph,North,RapidZoo,10,1870,833.459
56,2007-07-01,Joseph,West,SuperGlue,9,1674,518.2704
57,2007-07-01,Joseph,West,FastCar,6,714,306.37739999999997
58,2007-07-01,Joseph,West,RapidZoo,9,1485,483.21900000000005
59,2007-07-01,Joseph,Middle,SuperGlue,6,882,302.7024
60,2007-07-01,Joseph,Middle,FastCar,7,1960,789.096
61,2007-07-01,Joseph,Middle,RapidZoo,7,1827,649.8639000000001
62,2007-08-01,Joseph,North,SuperGlue,7,1169,485.7195
63,2007-08-01,Joseph,North,FastCar,9,1332,583.6823999999999
64,2007-08-01,Joseph,North,RapidZoo,9,1440,585.36
65,2007-08-01,Joseph,West,SuperGlue,6,684,225.30960000000002
66,2007-08-01,Joseph,West,FastCar,9,2286,877.5954
67,2007-08-01,Joseph,West,RapidZoo,10,2520,792.792
68,2007-08-01,Joseph,Middle,SuperGlue,10,1840,792.672
69,2007-08-01,Joseph,Middle,FastCar,9,1836,595.2312
70,2007-08-01,Joseph,Middle,RapidZoo,8,2232,969.1343999999999
71,2007-09-01,Joseph,North,SuperGlue,9,1620,694.6560000000001
72,2007-09-01,Joseph,North,FastCar,10,2540,1006.8559999999999
73,2007-09-01,Joseph,North,RapidZoo,7,931,416.7156
74,2007-09-01,Joseph,West,SuperGlue,10,1140,380.532
75,2007-09-01,Joseph,West,FastCar,7,1715,627.5185
76,2007-09-01,Joseph,West,RapidZoo,7,1687,538.4904
77,2007-09-01,Joseph,Middle,SuperGlue,6,1476,581.8392
78,2007-09-01,Joseph,Middle,FastCar,7,1960,705.208
79,2007-09-01,Joseph,Middle,RapidZoo,9,2646,812.322
80,2007-10-01,Joseph,North,SuperGlue,10,1410,483.207
81,2007-10-01,Joseph,North,FastCar,9,1521,607.4874
82,2007-10-01,Joseph,North,RapidZoo,9,1494,663.9336000000001
83,2007-10-01,Joseph,West,SuperGlue,10,2050,627.3
84,2007-10-01,Joseph,West,FastCar,8,1448,496.66400000000004
85,2007-10-01,Joseph,West,RapidZoo,10,1170,431.96399999999994
86,2007-10-01,Joseph,Middle,SuperGlue,6,1626,616.4166
87,2007-10-01,Joseph,Middle,FastCar,9,2295,989.3745
88,2007-10-01,Joseph,Middle,RapidZoo,8,2304,695.808
89,2007-11-01,Joseph,North,SuperGlue,9,1026,431.63820000000004
90,2007-11-01,Joseph,North,FastCar,7,1155,481.0575
91,2007-11-01,Joseph,North,RapidZoo,9,1935,688.86
92,2007-11-01,Joseph,West,SuperGlue,7,1911,633.4965000000001
93,2007-11-01,Joseph,West,FastCar,6,1386,512.9585999999999
94,2007-11-01,Joseph,West,RapidZoo,9,2646,993.8376
95,2007-11-01,Joseph,Middle,SuperGlue,6,1362,448.5066
96,2007-11-01,Joseph,Middle,FastCar,6,1326,490.3548
97,2007-11-01,Joseph,Middle,RapidZoo,9,1863,797.1777
98,2007-12-01,Joseph,North,SuperGlue,7,1169,384.1334
99,2007-12-01,Joseph,North,FastCar,9,1206,448.14959999999996
100,2007-12-01,Joseph,North,RapidZoo,7,749,256.90700000000004
101,2007-12-01,Joseph,West,SuperGlue,9,2565,789.5070000000001
102,2007-12-01,Joseph,West,FastCar,9,1962,594.2898
103,2007-12-01,Joseph,West,RapidZoo,7,1246,519.4574
